Notes	ICD-10 113 Cause List	ICD-10 113 Cause List Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Gender	Gender Code	Census Region	Census Region Code	Deaths	Population	Crude Rate
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Female	F	Census Region 2: Midwest	CENS-R2	159	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Female	F	Census Region 3: South	CENS-R3	298	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Female	F	Census Region 4: West	CENS-R4	175	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Male	M	Census Region 1: Northeast	CENS-R1	260	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Male	M	Census Region 2: Midwest	CENS-R2	242	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Male	M	Census Region 3: South	CENS-R3	496	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	25-34 years	25-34	Male	M	Census Region 4: West	CENS-R4	348	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Female	F	Census Region 1: Northeast	CENS-R1	363	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Female	F	Census Region 2: Midwest	CENS-R2	352	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Female	F	Census Region 3: South	CENS-R3	706	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Female	F	Census Region 4: West	CENS-R4	363	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Male	M	Census Region 1: Northeast	CENS-R1	409	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Male	M	Census Region 2: Midwest	CENS-R2	387	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Male	M	Census Region 3: South	CENS-R3	785	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	35-44 years	35-44	Male	M	Census Region 4: West	CENS-R4	499	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Female	F	Census Region 1: Northeast	CENS-R1	1142	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Female	F	Census Region 2: Midwest	CENS-R2	1087	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Female	F	Census Region 3: South	CENS-R3	2097	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Female	F	Census Region 4: West	CENS-R4	938	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Male	M	Census Region 1: Northeast	CENS-R1	1265	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Male	M	Census Region 2: Midwest	CENS-R2	1283	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Male	M	Census Region 3: South	CENS-R3	2416	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	45-54 years	45-54	Male	M	Census Region 4: West	CENS-R4	1124	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Female	F	Census Region 1: Northeast	CENS-R1	2328	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Female	F	Census Region 2: Midwest	CENS-R2	2229	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Female	F	Census Region 3: South	CENS-R3	3951	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Female	F	Census Region 4: West	CENS-R4	1946	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Male	M	Census Region 1: Northeast	CENS-R1	2963	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Male	M	Census Region 2: Midwest	CENS-R2	3005	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	5783	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	55-64 years	55-64	Male	M	Census Region 4: West	CENS-R4	2587	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Female	F	Census Region 1: Northeast	CENS-R1	3191	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Female	F	Census Region 2: Midwest	CENS-R2	2833	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Female	F	Census Region 3: South	CENS-R3	4910	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Female	F	Census Region 4: West	CENS-R4	2381	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Male	M	Census Region 1: Northeast	CENS-R1	3859	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Male	M	Census Region 2: Midwest	CENS-R2	3691	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Male	M	Census Region 3: South	CENS-R3	6949	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	65-74 years	65-74	Male	M	Census Region 4: West	CENS-R4	3166	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Female	F	Census Region 1: Northeast	CENS-R1	3202	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Female	F	Census Region 2: Midwest	CENS-R2	2630	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Female	F	Census Region 3: South	CENS-R3	4172	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Female	F	Census Region 4: West	CENS-R4	2056	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Male	M	Census Region 1: Northeast	CENS-R1	3477	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Male	M	Census Region 2: Midwest	CENS-R2	3311	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Male	M	Census Region 3: South	CENS-R3	5463	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	75-84 years	75-84	Male	M	Census Region 4: West	CENS-R4	2646	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Female	F	Census Region 1: Northeast	CENS-R1	2101	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Female	F	Census Region 2: Midwest	CENS-R2	1640	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Female	F	Census Region 3: South	CENS-R3	2191	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Female	F	Census Region 4: West	CENS-R4	1136	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Male	M	Census Region 1: Northeast	CENS-R1	1843	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Male	M	Census Region 2: Midwest	CENS-R2	1545	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Male	M	Census Region 3: South	CENS-R3	2182	Not Applicable	Not Applicable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	GR113-043	85+ years	85+	Male	M	Census Region 4: West	CENS-R4	1144	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Female	F	Census Region 1: Northeast	CENS-R1	16	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Female	F	Census Region 2: Midwest	CENS-R2	26	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Female	F	Census Region 3: South	CENS-R3	59	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Female	F	Census Region 4: West	CENS-R4	34	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Male	M	Census Region 1: Northeast	CENS-R1	18	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Male	M	Census Region 2: Midwest	CENS-R2	16	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Male	M	Census Region 3: South	CENS-R3	50	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	< 1 year	1	Male	M	Census Region 4: West	CENS-R4	28	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Female	F	Census Region 1: Northeast	CENS-R1	10	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Female	F	Census Region 2: Midwest	CENS-R2	13	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Female	F	Census Region 3: South	CENS-R3	43	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Female	F	Census Region 4: West	CENS-R4	22	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Male	M	Census Region 1: Northeast	CENS-R1	15	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Male	M	Census Region 2: Midwest	CENS-R2	17	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	1-4 years	4-Jan	Male	M	Census Region 3: South	CENS-R3	36	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Female	F	Census Region 1: Northeast	CENS-R1	11	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Female	F	Census Region 2: Midwest	CENS-R2	28	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Female	F	Census Region 3: South	CENS-R3	52	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Female	F	Census Region 4: West	CENS-R4	20	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Male	M	Census Region 1: Northeast	CENS-R1	19	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Male	M	Census Region 2: Midwest	CENS-R2	24	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Male	M	Census Region 3: South	CENS-R3	48	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	5-14 years	14-May	Male	M	Census Region 4: West	CENS-R4	18	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Female	F	Census Region 1: Northeast	CENS-R1	19	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Female	F	Census Region 2: Midwest	CENS-R2	17	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Female	F	Census Region 3: South	CENS-R3	52	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Female	F	Census Region 4: West	CENS-R4	21	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Male	M	Census Region 1: Northeast	CENS-R1	31	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Male	M	Census Region 2: Midwest	CENS-R2	28	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Male	M	Census Region 3: South	CENS-R3	54	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	15-24 years	15-24	Male	M	Census Region 4: West	CENS-R4	49	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Female	F	Census Region 1: Northeast	CENS-R1	37	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Female	F	Census Region 2: Midwest	CENS-R2	35	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Female	F	Census Region 3: South	CENS-R3	67	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Female	F	Census Region 4: West	CENS-R4	42	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Male	M	Census Region 1: Northeast	CENS-R1	44	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Male	M	Census Region 2: Midwest	CENS-R2	32	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Male	M	Census Region 3: South	CENS-R3	90	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	25-34 years	25-34	Male	M	Census Region 4: West	CENS-R4	42	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Female	F	Census Region 1: Northeast	CENS-R1	69	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Female	F	Census Region 2: Midwest	CENS-R2	57	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Female	F	Census Region 3: South	CENS-R3	145	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Female	F	Census Region 4: West	CENS-R4	71	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Male	M	Census Region 1: Northeast	CENS-R1	65	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Male	M	Census Region 2: Midwest	CENS-R2	81	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Male	M	Census Region 3: South	CENS-R3	139	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	35-44 years	35-44	Male	M	Census Region 4: West	CENS-R4	77	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Female	F	Census Region 1: Northeast	CENS-R1	129	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Female	F	Census Region 2: Midwest	CENS-R2	162	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Female	F	Census Region 3: South	CENS-R3	307	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Female	F	Census Region 4: West	CENS-R4	162	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Male	M	Census Region 1: Northeast	CENS-R1	185	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Male	M	Census Region 2: Midwest	CENS-R2	167	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Male	M	Census Region 3: South	CENS-R3	333	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	45-54 years	45-54	Male	M	Census Region 4: West	CENS-R4	172	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Female	F	Census Region 1: Northeast	CENS-R1	300	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Female	F	Census Region 2: Midwest	CENS-R2	344	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Female	F	Census Region 3: South	CENS-R3	574	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Female	F	Census Region 4: West	CENS-R4	314	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Male	M	Census Region 1: Northeast	CENS-R1	449	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Male	M	Census Region 2: Midwest	CENS-R2	536	Not Applicable	Not Applicable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR113-044	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	814	Not Applicable	Not Applicable
