Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,Other specified disorders of kidney and ureter,N28.8,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Female,F,65-74 years,65-74,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Female,F,75-84 years,75-84,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Female,F,85+ years,85+,39,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Male,M,65-74 years,65-74,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Male,M,75-84 years,75-84,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,Male,M,85+ years,85+,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by incompetent cervix,P01.0,Male,M,< 1 year,1,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by premature rupture of membranes,P01.1,Female,F,< 1 year,1,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by premature rupture of membranes,P01.1,Male,M,< 1 year,1,35,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by other forms of placental separation and haemorrhage,P02.1,Male,M,< 1 year,1,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Newborn affected by chorioamnionitis,P02.7,Female,F,< 1 year,1,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Extreme immaturity,P07.2,Female,F,< 1 year,1,124,Not Applicable,Not Applicable
,Black or African American,2054-5,Extreme immaturity,P07.2,Male,M,< 1 year,1,159,Not Applicable,Not Applicable
,Black or African American,2054-5,Other preterm infants,P07.3,Female,F,< 1 year,1,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Other preterm infants,P07.3,Male,M,< 1 year,1,55,Not Applicable,Not Applicable
,Black or African American,2054-5,Respiratory distress syndrome of newborn,P22.0,Male,M,< 1 year,1,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Neonatal cardiac failure,P29.0,Male,M,< 1 year,1,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bacterial sepsis of newborn, unspecified",P36.9,Female,F,< 1 year,1,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bacterial sepsis of newborn, unspecified",P36.9,Male,M,< 1 year,1,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Necrotizing enterocolitis of newborn,P77,Female,F,< 1 year,1,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Necrotizing enterocolitis of newborn,P77,Male,M,< 1 year,1,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypoxic ischemic encephalopathy of newborn,P91.6,Female,F,< 1 year,1,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Congenital malformation of heart, unspecified",Q24.9,Female,F,< 1 year,1,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Congenital malformation of heart, unspecified",Q24.9,Male,M,< 1 year,1,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Edwards syndrome, unspecified",Q91.3,Female,F,< 1 year,1,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Sudden infant death syndrome - SIDS,R95,Female,F,< 1 year,1,32,Not Applicable,Not Applicable
,Black or African American,2054-5,Sudden infant death syndrome - SIDS,R95,Male,M,< 1 year,1,42,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,Female,F,< 1 year,1,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,Male,M,< 1 year,1,41,Not Applicable,Not Applicable
,Black or African American,2054-5,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,25-34 years,25-34,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,15-24 years,15-24,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,25-34 years,25-34,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,15-24 years,15-24,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,25-34 years,25-34,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,35-44 years,35-44,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Other fall on same level,W18,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Male,M,65-74 years,65-74,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Male,M,75-84 years,75-84,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified fall,W19,Male,M,85+ years,85+,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Drowning and submersion while in swimming-pool,W67,Male,M,5-14 years,14-May,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Accidental suffocation and strangulation in bed,W75,Female,F,< 1 year,1,37,Not Applicable,Not Applicable
,Black or African American,2054-5,Accidental suffocation and strangulation in bed,W75,Male,M,< 1 year,1,51,Not Applicable,Not Applicable
,Black or African American,2054-5,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified threat to breathing,W84,Male,M,< 1 year,1,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Male,M,25-34 years,25-34,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Female,F,25-34 years,25-34,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Female,F,35-44 years,35-44,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Female,F,45-54 years,45-54,52,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Female,F,55-64 years,55-64,41,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Male,M,15-24 years,15-24,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Male,M,25-34 years,25-34,56,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Male,M,35-44 years,35-44,56,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Male,M,45-54 years,45-54,97,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Male,M,55-64 years,55-64,116,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Male,M,65-74 years,65-74,49,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Female,F,25-34 years,25-34,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Female,F,45-54 years,45-54,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Female,F,55-64 years,55-64,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Male,M,25-34 years,25-34,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Male,M,35-44 years,35-44,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Male,M,45-54 years,45-54,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Male,M,55-64 years,55-64,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Exposure to unspecified factor causing other and unspecified injury,X59.9,Male,M,55-64 years,55-64,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Exposure to unspecified factor causing other and unspecified injury,X59.9,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Intentional self-harm by hanging, strangulation and suffocation",X70,Male,M,25-34 years,25-34,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,Male,M,15-24 years,15-24,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Female,F,15-24 years,15-24,31,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Female,F,25-34 years,25-34,36,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Female,F,35-44 years,35-44,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Male,M,5-14 years,14-May,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Male,M,15-24 years,15-24,336,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Male,M,25-34 years,25-34,312,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Male,M,35-44 years,35-44,131,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Male,M,45-54 years,45-54,47,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,Male,M,55-64 years,55-64,26,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by sharp object,X99,Male,M,15-24 years,15-24,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Assault by sharp object,X99,Male,M,25-34 years,25-34,17,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Female,F,45-54 years,45-54,13,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Female,F,55-64 years,55-64,51,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Female,F,65-74 years,65-74,77,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Female,F,75-84 years,75-84,154,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Female,F,85+ years,85+,145,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Male,M,55-64 years,55-64,32,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Male,M,65-74 years,65-74,74,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Male,M,75-84 years,75-84,95,Not Applicable,Not Applicable
,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,Male,M,85+ years,85+,79,Not Applicable,Not Applicable
,White,2106-3,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,Female,F,< 1 year,1,13,Not Applicable,Not Applicable
,White,2106-3,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,Female,F,85+ years,85+,13,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Female,F,55-64 years,55-64,20,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Female,F,65-74 years,65-74,26,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Female,F,75-84 years,75-84,46,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Female,F,85+ years,85+,50,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Male,M,75-84 years,75-84,27,Not Applicable,Not Applicable
,White,2106-3,Gastroenteritis and colitis of unspecified origin,A09.9,Male,M,85+ years,85+,16,Not Applicable,Not Applicable
,White,2106-3,Pulmonary mycobacterial infection,A31.0,Male,M,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,Female,F,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,Male,M,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Female,F,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Female,F,65-74 years,65-74,20,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Female,F,75-84 years,75-84,23,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Female,F,85+ years,85+,28,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Male,M,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Male,M,75-84 years,75-84,19,Not Applicable,Not Applicable
,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,Male,M,85+ years,85+,24,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,25-34 years,25-34,37,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,35-44 years,35-44,45,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,45-54 years,45-54,167,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,55-64 years,55-64,393,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,65-74 years,65-74,680,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,75-84 years,75-84,817,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Female,F,85+ years,85+,889,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,25-34 years,25-34,25,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,35-44 years,35-44,45,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,45-54 years,45-54,167,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,55-64 years,55-64,477,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,65-74 years,65-74,701,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,75-84 years,75-84,787,Not Applicable,Not Applicable
,White,2106-3,"Septicaemia, unspecified",A41.9,Male,M,85+ years,85+,622,Not Applicable,Not Applicable
,White,2106-3,Legionnaires disease,A48.1,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,"Staphylococcal infection, unspecified",A49.0,Female,F,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,"Staphylococcal infection, unspecified",A49.0,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,"Staphylococcal infection, unspecified",A49.0,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,"Staphylococcal infection, unspecified",A49.0,Male,M,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,"Staphylococcal infection, unspecified",A49.0,Male,M,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,Female,F,65-74 years,65-74,13,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,"Bacterial infection, unspecified",A49.9,Male,M,85+ years,85+,21,Not Applicable,Not Applicable
,White,2106-3,West Nile fever,A92.3,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,West Nile fever,A92.3,Male,M,75-84 years,75-84,17,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,Female,F,45-54 years,45-54,17,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,Female,F,55-64 years,55-64,26,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,Female,F,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,Male,M,45-54 years,45-54,18,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,Male,M,55-64 years,55-64,77,Not Applicable,Not Applicable
,White,2106-3,Chronic viral hepatitis C,B18.2,Male,M,65-74 years,65-74,29,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Female,F,65-74 years,65-74,12,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Female,F,75-84 years,75-84,22,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Female,F,85+ years,85+,30,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Male,M,< 1 year,1,12,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Male,M,65-74 years,65-74,12,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,White,2106-3,Other viral infections of unspecified site,B34.8,Male,M,85+ years,85+,19,Not Applicable,Not Applicable
,White,2106-3,Unspecified mycosis,B49,Female,F,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,Unspecified mycosis,B49,Male,M,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,Pneumocystosis,B59,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,Female,F,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,Female,F,65-74 years,65-74,15,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,Male,M,55-64 years,55-64,19,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,Male,M,65-74 years,65-74,24,Not Applicable,Not Applicable
,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,Male,M,75-84 years,75-84,17,Not Applicable,Not Applicable
,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,Male,M,55-64 years,55-64,17,Not Applicable,Not Applicable
,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,Male,M,65-74 years,65-74,29,Not Applicable,Not Applicable
,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,"Oropharynx, unspecified - Malignant neoplasms",C10.9,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,"Oropharynx, unspecified - Malignant neoplasms",C10.9,Male,M,65-74 years,65-74,13,Not Applicable,Not Applicable
,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,Male,M,65-74 years,65-74,18,Not Applicable,Not Applicable
,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,45-54 years,45-54,11,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,55-64 years,55-64,44,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,65-74 years,65-74,54,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,75-84 years,75-84,42,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,35-44 years,35-44,12,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,45-54 years,45-54,69,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,55-64 years,55-64,218,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,65-74 years,65-74,295,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,75-84 years,75-84,162,Not Applicable,Not Applicable
,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,85+ years,85+,43,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,Male,M,65-74 years,65-74,17,Not Applicable,Not Applicable
,White,2106-3,Cardia - Malignant neoplasms,C16.0,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,45-54 years,45-54,21,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,55-64 years,55-64,28,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,65-74 years,65-74,34,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,75-84 years,75-84,27,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,85+ years,85+,17,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,45-54 years,45-54,24,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,55-64 years,55-64,56,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,65-74 years,65-74,50,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,75-84 years,75-84,53,Not Applicable,Not Applicable
,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Duodenum - Malignant neoplasms,C17.0,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,35-44 years,35-44,15,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,45-54 years,45-54,70,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,55-64 years,55-64,135,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,65-74 years,65-74,186,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,75-84 years,75-84,161,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,85+ years,85+,136,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,35-44 years,35-44,24,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,45-54 years,45-54,87,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,55-64 years,55-64,178,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,65-74 years,65-74,255,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,75-84 years,75-84,210,Not Applicable,Not Applicable
,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,85+ years,85+,134,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,Female,F,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,Female,F,65-74 years,65-74,16,Not Applicable,Not Applicable
