Notes,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,#Malignant neoplasms (C00-C97),GR113-019,85+ years,85+,Male,M,2016,2016,8271,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,85+ years,85+,Male,M,2018,2018,8000,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Female,F,2008,2008,1,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Female,F,2012,2012,2,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Female,F,2014,2014,1,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Female,F,2016,2016,1,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Female,F,2018,2018,1,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Male,M,2008,2008,2,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Male,M,2010,2010,2,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Male,M,2012,2012,2,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Male,M,2014,2014,3,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Male,M,2016,2016,2,Not Applicable,Not Applicable
,#Malignant neoplasms (C00-C97),GR113-019,Not Stated,NS,Male,M,2018,2018,5,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,< 1 year,1,Female,F,2018,2018,2,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,1-4 years,4-Jan,Female,F,2010,2010,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,5-14 years,14-May,Female,F,2016,2016,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,5-14 years,14-May,Male,M,2008,2008,2,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,5-14 years,14-May,Male,M,2016,2016,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Female,F,2008,2008,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Female,F,2010,2010,4,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Female,F,2012,2012,5,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Female,F,2014,2014,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Female,F,2016,2016,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Female,F,2018,2018,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Male,M,2008,2008,1,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Male,M,2010,2010,9,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Male,M,2012,2012,5,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Male,M,2014,2014,5,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Male,M,2016,2016,7,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,15-24 years,15-24,Male,M,2018,2018,5,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Female,F,2008,2008,4,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Female,F,2010,2010,2,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Female,F,2012,2012,3,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Female,F,2014,2014,11,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Female,F,2016,2016,4,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Female,F,2018,2018,6,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Male,M,2008,2008,14,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Male,M,2010,2010,14,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Male,M,2012,2012,8,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Male,M,2014,2014,13,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Male,M,2016,2016,11,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,25-34 years,25-34,Male,M,2018,2018,18,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Female,F,2008,2008,21,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Female,F,2010,2010,21,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Female,F,2012,2012,22,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Female,F,2014,2014,21,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Female,F,2016,2016,16,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Female,F,2018,2018,19,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Male,M,2008,2008,55,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Male,M,2010,2010,45,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Male,M,2012,2012,45,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Male,M,2014,2014,34,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Male,M,2016,2016,37,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,35-44 years,35-44,Male,M,2018,2018,47,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Female,F,2008,2008,84,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Female,F,2010,2010,98,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Female,F,2012,2012,84,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Female,F,2014,2014,46,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Female,F,2016,2016,77,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Female,F,2018,2018,42,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Male,M,2008,2008,268,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Male,M,2010,2010,225,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Male,M,2012,2012,232,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Male,M,2014,2014,221,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Male,M,2016,2016,174,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,45-54 years,45-54,Male,M,2018,2018,145,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Female,F,2008,2008,120,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Female,F,2010,2010,102,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Female,F,2012,2012,126,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Female,F,2014,2014,122,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Female,F,2016,2016,153,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Female,F,2018,2018,175,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Male,M,2008,2008,447,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Male,M,2010,2010,512,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Male,M,2012,2012,452,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Male,M,2014,2014,466,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Male,M,2016,2016,486,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,55-64 years,55-64,Male,M,2018,2018,469,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Female,F,2008,2008,153,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Female,F,2010,2010,122,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Female,F,2012,2012,135,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Female,F,2014,2014,140,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Female,F,2016,2016,154,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Female,F,2018,2018,154,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Male,M,2008,2008,429,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Male,M,2010,2010,374,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Male,M,2012,2012,420,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Male,M,2014,2014,436,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Male,M,2016,2016,514,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,65-74 years,65-74,Male,M,2018,2018,544,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Female,F,2008,2008,139,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Female,F,2010,2010,151,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Female,F,2012,2012,119,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Female,F,2014,2014,88,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Female,F,2016,2016,101,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Female,F,2018,2018,104,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Male,M,2008,2008,279,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Male,M,2010,2010,263,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Male,M,2012,2012,256,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Male,M,2014,2014,256,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Male,M,2016,2016,274,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,75-84 years,75-84,Male,M,2018,2018,296,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Female,F,2008,2008,78,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Female,F,2010,2010,76,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Female,F,2012,2012,53,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Female,F,2014,2014,54,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Female,F,2016,2016,70,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Female,F,2018,2018,56,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Male,M,2008,2008,98,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Male,M,2010,2010,105,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Male,M,2012,2012,89,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Male,M,2014,2014,91,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Male,M,2016,2016,96,Not Applicable,Not Applicable
,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,85+ years,85+,Male,M,2018,2018,102,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,5-14 years,14-May,Female,F,2008,2008,1,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,15-24 years,15-24,Female,F,2014,2014,1,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,15-24 years,15-24,Male,M,2008,2008,2,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,15-24 years,15-24,Male,M,2010,2010,1,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,15-24 years,15-24,Male,M,2012,2012,1,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,15-24 years,15-24,Male,M,2014,2014,1,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,15-24 years,15-24,Male,M,2016,2016,2,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Female,F,2008,2008,5,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Female,F,2010,2010,1,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Female,F,2012,2012,4,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Female,F,2014,2014,2,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Female,F,2016,2016,2,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Female,F,2018,2018,3,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Male,M,2008,2008,6,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Male,M,2010,2010,9,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Male,M,2012,2012,9,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Male,M,2014,2014,9,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Male,M,2016,2016,15,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,25-34 years,25-34,Male,M,2018,2018,11,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Female,F,2008,2008,13,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Female,F,2010,2010,18,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Female,F,2012,2012,10,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Female,F,2014,2014,13,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Female,F,2016,2016,9,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Female,F,2018,2018,21,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Male,M,2008,2008,67,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Male,M,2010,2010,68,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Male,M,2012,2012,61,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Male,M,2014,2014,70,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Male,M,2016,2016,56,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,35-44 years,35-44,Male,M,2018,2018,60,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Female,F,2008,2008,79,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Female,F,2010,2010,81,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Female,F,2012,2012,81,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Female,F,2014,2014,65,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Female,F,2016,2016,66,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Female,F,2018,2018,64,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Male,M,2008,2008,444,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Male,M,2010,2010,427,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Male,M,2012,2012,422,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Male,M,2014,2014,345,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Male,M,2016,2016,330,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,45-54 years,45-54,Male,M,2018,2018,300,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Female,F,2008,2008,173,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Female,F,2010,2010,216,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Female,F,2012,2012,141,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Female,F,2014,2014,186,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Female,F,2016,2016,179,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Female,F,2018,2018,200,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Male,M,2008,2008,1033,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Male,M,2010,2010,1069,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Male,M,2012,2012,1003,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Male,M,2014,2014,996,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Male,M,2016,2016,975,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,55-64 years,55-64,Male,M,2018,2018,943,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Female,F,2008,2008,221,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Female,F,2010,2010,229,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Female,F,2012,2012,209,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Female,F,2014,2014,222,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Female,F,2016,2016,227,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Female,F,2018,2018,233,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Male,M,2008,2008,1029,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Male,M,2010,2010,986,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Male,M,2012,2012,1046,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Male,M,2014,2014,1067,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Male,M,2016,2016,1179,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,65-74 years,65-74,Male,M,2018,2018,1191,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Female,F,2008,2008,213,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Female,F,2010,2010,205,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Female,F,2012,2012,167,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Female,F,2014,2014,153,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Female,F,2016,2016,155,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Female,F,2018,2018,179,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Male,M,2008,2008,768,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Male,M,2010,2010,727,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Male,M,2012,2012,653,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Male,M,2014,2014,651,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Male,M,2016,2016,596,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,75-84 years,75-84,Male,M,2018,2018,633,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Female,F,2008,2008,88,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Female,F,2010,2010,99,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Female,F,2012,2012,87,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Female,F,2014,2014,74,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Female,F,2016,2016,79,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Female,F,2018,2018,67,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Male,M,2008,2008,180,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Male,M,2010,2010,196,Not Applicable,Not Applicable
,Malignant neoplasm of esophagus (C15),GR113-021,85+ years,85+,Male,M,2012,2012,194,Not Applicable,Not Applicable
